queries,step
What is Joint Work Agreement?,step1-Introduction
What should I do here,step0-Bot
Does water sustainability act applies to me ?,step1-Introduction
Do I need a licence just to water grass?, step1-Introduction
What is the likelihood of getting a licence?,step1-Introduction
What will happen if I don’t Login?,step1-Introduction
What is Joint Work Agreement?,step2-Eligibility
Do I need a licence for a hobby farm?,step2-Eligibility
What is Joint Work Agreement?,step3-Technical-Information-Fee-Exemption-Request
I am using a water from a near by stream,step3-Technical-Information-Water-Diversion
whats the difference between surface and groundwater ?,step3-Technical-Information-Water-Diversion
How do I calculate the quantity of water?,step3-Technical-Information-Water-Diversion
What is Joint Work Agreement?,step3-AddPurpose-Consolidated
How do I calculate watering for 200 cows ?,step3-AddPurpose-Consolidated
How do I calculate the total annual quantity?,step3-AddPurpose-Consolidated
Can you calculate it for me?,step3-AddPurpose-Consolidated
How do I measure max rate of diversion?,step3-AddPurpose-Consolidated
What is Joint Work Agreement?,step3-AddPurpose-Consolidated
What is Joint Work Agreement?, step5-Document-Upload
Guideline of drawing to scale?, step5-Document-Upload
what are the requirment of joint work agreement?, step5-Document-Upload
What is Joint Work Agreement?, step5-Document-Upload
what is this page for?, step6-Privacy-Confirmation
What is Joint Work Agreement?, step6-Privacy-Confirmation
What are the guideline of letter of agency?,step7-Contact-Information
What is Joint Work Agreement?, step7-Contact-Information
Do I need to add co-applicant?, step7-Contact-Information
do you have the template or guideline for the co-applicant approval form?,  step7-Contact-Information
what is this page?, step8-Review
What is Joint Work Agreement?, step9-Declarations
what is this ACT?, step9-Declarations
What extra information need to add in other information box,step10-Complete
What is Joint Work Agreement?,step10-Complete
Iam facing some issue while trying to pay?,step10-Complete
